,CITY_NAME,ALT_CITY_NAMES,COUNTRY_NAME,COUNTRY_ISO,COUNTRY_ALT_NAME,COUNTRY_ALT_ISO,REGION_L1,REGION_L2,BBX_YMIN,BBX_XMIN,BBX_YMAX,BBX_XMAX,CENTRE_Y,CENTRE_X,POPULATION,BUILT_UP_KM2,QA_FLAG,UTC_TIMESHIFT,CITY-NAME_ISO
812,shiraz,Shiraz,Iran,irn,Iran,IRN,Asia,South-Central Asia,29.5403345194,52.3949764446,29.7621571052,52.6714710235,29.6154578539,52.5224441994,1341825.20945,115.119750977,1,3.5,shiraz_irn
813,shiyan,Shiyan; Zhangwan,China,chn,China,CHN,Asia,Eastern Asia,32.5944347628,110.621302592,32.6980443457,110.832200119,32.6445446118,110.750182244,525870.181244,36.3172149658,1,8.0,shiyan_chn
814,shizuoka,Shizuoka,Japan,jpn,Japan,JPN,Asia,Eastern Asia,34.9108345494,138.316927069,35.0678623015,138.546641384,34.9928473616,138.43299696,578725.068146,102.589599609,1,9.0,shizuoka_jpn
815,shymkent,Shymkent,Kazakhstan,kaz,Kazakhstan,KAZ,Asia,South-Central Asia,42.2653178768,69.4825816804,42.3922439078,69.7171575073,42.329687813,69.5977743825,738552.271851,94.8500976562,1,6.0,shymkent_kaz
816,sialkot,Sialkot,Pakistan,pak,Pakistan,PAK,Asia,South-Central Asia,32.3011189638,74.2379873684,32.5944347628,74.6083449383,32.4995066684,74.5157555458,1885761.04263,46.3753623962,1,5.0,sialkot_pak
817,sikar,Sikar,India,ind,India,IND,Asia,South-Central Asia,27.5689200907,75.1068197489,27.6451404644,75.1963783774,27.6079287166,75.1535043155,513052.752197,16.5763607025,1,5.5,sikar_ind
818,silchar,Silchar,India,ind,India,IND,Asia,South-Central Asia,24.7538663975,92.7073175168,24.8545691244,92.8344589809,24.8150991957,92.7854542427,538513.861938,16.7272052765,1,5.5,silchar_ind
819,siliguri,Siliguri,India,ind,India,IND,Asia,South-Central Asia,26.6473777388,88.2960549121,26.7740256991,88.4753754913,26.7142207912,88.4099603563,601281.384171,38.740650177,1,5.5,siliguri_ind
820,sincan,Sincan; Etimesgut,Turkey,tur,Turkey,TUR,Asia,Western Asia,39.8533440231,32.4907394562,40.0322178189,32.7214208297,39.9464950478,32.6107513047,1363364.37051,54.5566215515,1,2.0,sincan_tur
821,singapore,Singapore; Johor Bahru; Pasir Gudang,Singapore,sgp,Singapore;Malaysia,SGP; MYS,Asia,South-Eastern Asia,1.25362858161,103.582786452,1.60952924639,103.985805607,1.39113406877,103.885050818,6920918.42518,296.665588379,1,8.0,singapore_sgp
822,sirajganj,Sirajganj; Shahajadpur; Baghabari,Bangladesh,bgd,Bangladesh,BGD,Asia,South-Central Asia,24.1167955626,89.5447710409,24.7454759047,89.7439589654,24.4125433271,89.6428918279,1771423.56314,99.4533996582,1,6.0,sirajganj_bgd
823,sitamarhi,Sitamarhi,India,ind,India,IND,Asia,South-Central Asia,26.5292210385,85.4410019556,26.6136139589,85.5703397138,26.5824731353,85.5108618361,534900.172485,3.41216063499,1,5.5,sitamarhi_ind
824,sitapur,Sitapur,India,ind,India,IND,Asia,South-Central Asia,27.5265841118,80.6396861382,27.5943246492,80.7463414862,27.5619399493,80.689816459,782439.310684,3.61460781097,1,5.5,sitapur_ind
825,sofia,Sofia,Bulgaria,bgr,Bulgaria,BGR,Europe,Eastern Europe,42.6100547163,23.2127725146,42.7645093523,23.4367305728,42.6853583853,23.3253419636,926881.288761,92.3943481445,1,2.0,sofia_bgr
826,sohag,Sohag,Egypt,egy,Egypt,EGY,Africa,Northern Africa,26.5039077562,31.5480128433,26.6473777388,31.8251051573,26.5673744913,31.6901535748,978160.674742,31.7786903381,1,2.0,sohag_egy
827,sokoto,Sokoto,Nigeria,nga,Nigeria,NGA,Africa,Western Africa,12.9910874774,5.18122126113,13.1054542033,5.28358591287,13.0422840351,5.23969473402,711887.468613,36.5054397583,1,1.0,sokoto_nga
828,solapur,Solapur,India,ind,India,IND,Asia,South-Central Asia,17.5999962708,75.872195075,17.7070930811,75.9879083989,17.6555509631,75.9208028169,1059904.25983,30.1403484344,1,5.5,solapur_ind
829,sorocaba,Sorocaba; Votorantim,Brazil,bra,Brazil,BRA,Latin America and the Caribbean,South America,-23.5812494698,-47.5372039293,-23.4224199434,-47.3966354036,-23.4970405777,-47.4685746205,688437.198868,91.840927124,1,-3.0,sorocaba_bra
830,srinagar,Srinagar,India,ind,India,IND,Asia,South-Central Asia,33.9796970369,74.7527562383,34.2055964814,74.9174266719,34.098195849,74.8193164253,1105044.57798,57.9208564758,1,5.5,srinagar_ind
831,st-louis,St. Louis,United States,usa,United States,USA,Northern America,Northern America,38.4196426325,-90.4900042269,38.8459420116,-90.0408739306,38.6486633451,-90.2951684711,1100883.93795,654.260131836,1,-6.0,st-louis_usa
832,stockholm,Stockholm,Sweden,swe,Sweden,SWE,Europe,Northern Europe,59.189631124,17.7730426324,59.4702124781,18.2851017098,59.3315727547,18.0005502921,1305076.21013,157.850662231,1,1.0,stockholm_swe
833,stuttgart,Stuttgart,Germany,deu,Germany,DEU,Europe,Western Europe,48.6842763795,9.04784263439,48.9682322922,9.44125912159,48.8067060418,9.20266757427,986038.156701,172.142562866,1,1.0,stuttgart_deu
834,sulaymaniyah,Sulaymaniyah,Iraq,irq,Iraq,IRQ,Asia,Western Asia,35.5133949787,45.3361291948,35.6096118338,45.4979812178,35.5612968937,45.421702151,713715.888916,45.1719741821,1,3.0,sulaymaniyah_irq
835,sultanpur,Sultanpur,India,ind,India,IND,Asia,South-Central Asia,26.2171711018,82.0211297985,26.293045754,82.106100053,26.2529304677,82.068330469,1165748.453,3.38277387619,1,5.5,sultanpur_ind
836,sumenep,Sumenep,Indonesia,idn,Indonesia,IDN,Asia,South-Eastern Asia,-7.07552502193,113.832231246,-6.97819220122,113.97256686,-7.02672393722,113.888481929,520291.443076,9.59575271606,1,7.0,sumenep_idn
837,surabaya,Surabaya; Malang; Batu,Indonesia,idn,Indonesia,IDN,Asia,South-Eastern Asia,-8.21980403109,112.466987702,-7.1890899197,112.834400528,-7.62856182083,112.669706284,8352589.50448,566.760375977,1,7.0,surabaya_idn
838,surat,Surat,India,ind,India,IND,Asia,South-Central Asia,21.0815570377,72.6210989585,21.264299799,72.9062329038,21.1772904967,72.75651687,5474488.34064,56.3527755737,1,5.0,surat_ind
839,suzhou,Suzhou; Wuxi; Kunshan; Wuzhong; Wujiang; Gusu; Xiangcheng; 梁溪区; 滨湖区; 锡山区; 惠山区,China,chn,China,CHN,Asia,Eastern Asia,31.045595202,120.094002946,31.7413602767,121.101412346,31.4158007134,120.573495205,8625178.95601,913.623962402,1,8.0,suzhou_chn
840,swat-city,Swat City,Pakistan,pak,Pakistan,PAK,Asia,South-Central Asia,34.6929277318,72.2468338873,34.8497987614,72.4227369471,34.7751027573,72.3330986438,951130.864407,13.703748703,1,5.0,swat-city_pak
841,sydney,Sydney,Australia,aus,Australia,AUS,Oceania,Australia/New Zealand,-34.0839300956,150.755830567,-33.6672857988,151.32513346,-33.8512399308,151.06681016,3745334.88847,921.579467773,1,10.0,sydney_aus
842,sylhet,Sylhet,Bangladesh,bgd,Bangladesh,BGD,Asia,South-Central Asia,24.7958220916,91.7779510065,24.9720950221,92.0380025109,24.8785933751,91.9033801477,1105313.99538,42.6061401367,1,6.0,sylhet_bgd
843,tabriz,Tabriz,Iran,irn,Iran,IRN,Asia,South-Central Asia,37.9411802094,46.0077155679,38.1359671599,46.5027930674,38.0508858119,46.2653423162,1511358.83669,127.800193787,1,3.5,tabriz_irn
844,tahoua,Tahoua,Niger,ner,Niger,NER,Africa,Western Africa,14.8726611858,5.23762139674,14.9054373359,5.29900984179,14.8882296196,5.26384058011,585729.200195,1.59056019783,1,1.0,tahoua_ner
845,taian,Tai'an; 泰山区,China,chn,China,CHN,Asia,Eastern Asia,36.1088919359,117.077515835,36.2404791521,117.256682347,36.1787077084,117.16228181,709078.069641,34.7041816711,1,8.0,taian_chn
846,taichung,Taichung,Taiwan,twn,Taiwan,TWN,Asia,Eastern Asia,24.0498061399,120.564958239,24.2843275297,120.756374065,24.1687138922,120.669787243,2223136.99074,192.253219604,1,8.0,taichung_twn
847,tainan,Tainan,Taiwan,twn,Taiwan,TWN,Asia,Eastern Asia,22.8879450068,120.137247359,23.0966278715,120.348564177,22.9868576195,120.230879254,1059817.00726,113.917457581,1,8.0,tainan_twn
848,taiyuan,Taiyuan; Yingze; Wanbailin; Xiaodian; Jiancaoping; Xinghualing,China,chn,China,CHN,Asia,Eastern Asia,37.7023878372,112.403119753,38.0031368013,112.659489609,37.8513484548,112.545256643,3451600.38115,246.786804199,1,8.0,taiyuan_chn
849,taizhou,Taizhou; 椒江区; Luqiao,China,chn,China,CHN,Asia,Eastern Asia,28.4339437293,121.220357199,28.7058721416,121.499980971,28.5763753915,121.380812149,1311573.87652,117.076583862,1,8.0,taizhou_chn
850,taizz,Ta'izz,Yemen,yem,Yemen,YEM,Asia,Western Asia,13.5549505583,43.9574162574,13.6040059864,44.0700515355,13.5817979812,44.017258011,672568.188232,3.71751713753,1,3.0,taizz_yem
851,takasaki,Takasaki; Maebashi; Ota; Isesaki; Ashikaga; Kiryu; Annaka,Japan,jpn,Japan,JPN,Asia,Eastern Asia,36.2053811003,138.848275308,36.4424082363,139.506740258,36.3328627188,139.215013421,1173901.03247,407.469116211,1,9.0,takasaki_jpn
852,takoradi,Takoradi; Sekondi-Takoradi,Ghana,gha,Ghana,GHA,Africa,Western Africa,4.871031473,-1.83006747446,5.00871817321,-1.66019909049,4.93346452022,-1.74946102109,707246.86512,32.549747467,1,0.0,takoradi_gha
853,tamluk,Tamluk; Kolaghat,India,ind,India,IND,Asia,South-Central Asia,22.2293024239,87.7528534064,22.5626427845,88.0292390063,22.4239251289,87.8876546221,1540713.67492,77.4022293091,1,5.5,tamluk_ind
854,tampa,Tampa; Saint Petersburg; Clearwater; Brandon; Largo,United States,usa,United States,USA,Northern America,Northern America,27.636670541,-82.8664051821,28.3744947591,-82.2146533765,27.8079772398,-82.7034672307,1996766.55393,1175.32202148,1,-6.0,tampa_usa
855,tampico,Tampico; Ciudad Madero,Mexico,mex,Mexico,MEX,Latin America and the Caribbean,Central America,22.1793274921,-97.9274031856,22.3542694541,-97.7884329388,22.26867547,-97.8552400915,622471.176326,85.2948303223,1,-6.0,tampico_mex
856,tangail,Tangail; Kalihati; Karatia; Basail,Bangladesh,bgd,Bangladesh,BGD,Asia,South-Central Asia,24.1837983129,89.8440411739,24.5106291077,90.0473795503,24.3266787896,89.9459055028,933116.22377,75.8925552368,1,6.0,tangail_bgd
857,tangier,Tangier,Morocco,mar,Morocco,MAR,Africa,Northern Africa,35.6971194926,-5.93877020486,35.7934196627,-5.7371322638,35.7499916151,-5.82518351742,976954.518356,49.1681747437,1,1.0,tangier_mar
858,tangshan,Tangshan; Guye; Fengnan; Lubei; Lunan; Kaiping,China,chn,China,CHN,Asia,Eastern Asia,39.4961180808,117.994623095,39.7639725944,118.516176637,39.6387909416,118.204169381,1578319.53572,195.656433105,1,8.0,tangshan_chn
859,tanta,Tanta,Egypt,egy,Egypt,EGY,Africa,Northern Africa,30.745552668,30.9396739519,30.8398134899,31.0746328936,30.7876443776,31.00749349,779681.251316,28.1252059937,1,2.0,tanta_egy
860,tashkent,Tashkent,Uzbekistan,uzb,Uzbekistan,UZB,Asia,South-Central Asia,41.1092021138,69.0886023352,41.4065239226,69.4162177493,41.269813195,69.2558385612,3157849.75417,284.841003418,1,5.0,tashkent_uzb
861,tasikmalaya,Tasikmalaya,Indonesia,idn,Indonesia,IDN,Asia,South-Eastern Asia,-7.43248010666,108.042100457,-7.10797103643,108.418005212,-7.28603654863,108.194753452,2166830.63578,68.1420516968,1,7.0,tasikmalaya_idn
862,tbilisi,Tbilisi,Georgia,geo,Georgia,GEO,Asia,Western Asia,41.6230774303,44.7086300638,41.8127847948,44.9322716006,41.7120194886,44.8263419717,1077839.80925,61.5608291626,1,4.0,tbilisi_geo
863,tegal,Tegal,Indonesia,idn,Indonesia,IDN,Asia,South-Eastern Asia,-7.0674136549,108.84182886,-6.80787834336,109.256198811,-6.92658239296,109.063125855,2047860.11927,118.332633972,1,7.0,tegal_idn
864,tegucigalpa,Tegucigalpa,Honduras,hnd,Honduras,HND,Latin America and the Caribbean,Central America,14.004772074,-87.2727156757,14.1275086331,-87.1333585314,14.0727528308,-87.2040368918,998560.776176,72.1286621094,1,-6.0,tegucigalpa_hnd
865,tehran,Tehran; Karaj; Eslamshahr; Qods; Shahriyar,Iran,irn,Iran,IRN,Asia,South-Central Asia,35.4784177931,50.8389443179,35.8985244888,51.6278242922,35.6984621488,51.2276999457,12515044.5449,683.019775391,1,3.5,tehran_irn
866,tel-aviv,Tel Aviv; Rishon LeZion; Petah Tikva; Holon; Bat Yam; Kfar Saba,Israel,isr,Israel,ISR,Asia,Western Asia,31.844603412,34.7301031153,32.2062995368,34.9928941993,32.0661626715,34.8484399607,2362272.7696,223.370559692,1,2.0,tel-aviv_isr
867,teresina,Teresina; Timon,Brazil,bra,Brazil,BRA,Latin America and the Caribbean,South America,-5.20311837929,-42.8604321808,-5.01681773377,-42.719066322,-5.10040927911,-42.7903072054,894356.464624,95.132774353,1,-3.0,teresina_bra
868,thalassery,Thalassery; Mahe; Koothuparamba; Peringatoor; Panoor; Vadakara,India,ind,India,IND,Asia,South-Central Asia,11.465330372,75.4306292966,11.8729604369,75.660314503,11.6904614772,75.5568305943,1217014.16264,29.6585254669,1,5.0,thalassery_ind
869,thanagaon,Thanagaon,India,ind,India,IND,Asia,South-Central Asia,27.3573018585,81.1934100375,27.5181176579,81.3467920032,27.4223099911,81.2600056923,517728.431747,1.56865596771,2,5.5,thanagaon_ind
870,thessaloniki,Thessaloniki,Greece,grc,Greece,GRC,Europe,Southern Europe,40.5429772658,22.8371263658,40.7135534228,23.0087706299,40.6420573389,22.937073085,813774.992859,74.4467773438,1,2.0,thessaloniki_grc
871,thiruvananthapuram,Thiruvananthapuram,India,ind,India,IND,Asia,South-Central Asia,8.38221137126,76.83038334,8.65024050281,77.1197097127,8.51499219482,76.9702954181,1961463.35387,94.3471984863,1,5.0,thiruvananthapuram_ind
872,thrissur,Thrissur,India,ind,India,IND,Asia,South-Central Asia,10.4390809444,76.1397108335,10.6344531863,76.2895554451,10.5293821965,76.2163742609,723861.949748,42.8168945312,1,5.5,thrissur_ind
873,tianjiaan,Tianjia‘an; Datong; Xiejiaji; Bagongshan,China,chn,China,CHN,Asia,Eastern Asia,32.5512774524,116.81209039,32.6980443457,117.105552292,32.6256817971,116.943867262,997914.332943,104.54940033,1,8.0,tianjiaan_chn
874,tianjin,Tianjin; Xiqing; 河西区; 东丽区; 河东区; 河北区; Nankai; 红桥区; 北辰区,China,chn,China,CHN,Asia,Eastern Asia,38.9348745596,116.967757483,39.2553791944,117.418912845,39.1194220146,117.21317081,6642178.94258,466.289672852,1,8.0,tianjin_chn
875,tijuana,Tijuana; San Diego; Chula Vista; Oceanside; Escondido; El Cajon; Vista; Poway,United States,usa,United States;Mexico,USA; MEX,Northern America,Northern America,32.4304785874,-117.418915613,33.2687144636,-116.790180148,32.8215824445,-117.110694709,4437234.74787,1160.30883789,1,-8.0,tijuana_usa
876,tirana,Tirana; Kamëz,Albania,alb,Albania,ALB,Europe,Southern Europe,41.2803256011,19.6783212432,41.4065239226,19.8895434558,41.3442637329,19.7983616209,719251.940983,56.3840904236,1,1.0,tirana_alb
877,tiruchirappalli,Tiruchirappalli,India,ind,India,IND,Asia,South-Central Asia,10.7402997441,78.6200440692,10.8868799737,78.8380351551,10.8032050858,78.7190639427,1267905.12786,27.4967861176,1,5.5,tiruchirappalli_ind
878,tirupati,Tirupati,India,ind,India,IND,Asia,South-Central Asia,13.5958298124,79.3480939637,13.6612422302,79.5190639091,13.6274302179,79.4339160672,528126.323357,16.9827442169,1,5.5,tirupati_ind
879,tiruppur,Tiruppur,India,ind,India,IND,Asia,South-Central Asia,11.025342188,77.2493801754,11.2045656556,77.4244086346,11.1165119085,77.3421282926,1274814.29284,52.4131202698,1,5.5,tiruppur_ind
880,tokyo,Tokyo; Yokohama; Kawasaki; Saitama; Chiba; Setagaya; Nerima; Ota; Sagamihara; Edogawa; Adachi; Funabashi; Itabashi; Kawaguchi; Hachiōji; Suginami; Koto; Ichikawa; Katsushika; Machida; Fujisawa; Kashiwa; Shinagawa; Kita; Koshigaya; Tokorozawa; Kawagoe; Nak,Japan,jpn,Japan,JPN,Asia,Eastern Asia,35.1726106433,139.085830688,36.1878342936,140.291772898,35.6814813096,139.649415997,33028731.2212,3664.91235352,1,9.0,tokyo_jpn
881,toluca,Toluca,Mexico,mex,Mexico,MEX,Latin America and the Caribbean,Central America,19.209085866,-99.7989748569,19.3909915393,-99.4452997023,19.2924460472,-99.6231724711,1434153.26647,140.073959351,1,-6.0,toluca_mex
882,tolyatti,Tolyatti,Russia,rus,Russia,RUS,Europe,Eastern Europe,53.4909614693,49.2123715198,53.5990843771,49.4960525685,53.5444145443,49.3512788714,520773.728855,68.8130264282,1,3.0,tolyatti_rus
883,tomsk,Tomsk; Seversk,Russia,rus,Russia,RUS,Europe,Eastern Europe,56.4376172802,84.7683631367,56.6396555666,85.1168561025,56.5294394554,84.9611850936,529131.595345,70.9072036743,1,6.0,tomsk_rus
884,tongliao,Tongliao,China,chn,China,CHN,Asia,Eastern Asia,43.5480926544,122.168188995,43.6760100873,122.324557796,43.6146782875,122.244562974,527049.470169,49.2744827271,1,8.0,tongliao_chn
885,toronto,Toronto; Mississauga; Brampton; Hamilton; Markham; Vaughan; Burlington; Ajax; Pickering,Canada,can,Canada,CAN,Northern America,Northern America,43.1740565256,-80.0013572259,43.9687755136,-78.9704607171,43.6524676752,-79.5338102426,6036145.78301,1471.81738281,1,-5.0,toronto_can
886,torreon,Torreon; Gómez Palacio; Ciudad Lerdo,Mexico,mex,Mexico,MEX,Latin America and the Caribbean,Central America,25.4846733382,-103.561896654,25.6276702094,-103.303834277,25.5505560055,-103.432717577,1038510.05529,138.078857422,1,-6.0,torreon_mex
887,touba,Touba,Senegal,sen,Senegal,SEN,Africa,Western Africa,14.7825365657,-15.9374167234,14.9136316711,-15.8245820394,14.8510390727,-15.8880344449,1002133.09927,62.4498710632,1,0.0,touba_sen
888,toulouse,Toulouse,France,fra,France,FRA,Europe,Western Europe,43.5115634058,1.29277913117,43.7217194915,1.54830618222,43.6092159251,1.42300022287,658107.213257,162.78805542,1,1.0,toulouse_fra
889,tripoli,Tripoli,Libya,lby,Libya,LBY,Africa,Northern Africa,32.7585042228,12.9231713369,32.9140437217,13.408297464,32.8431398451,13.1989624541,1136249.56049,277.662628174,1,2.0,tripoli_lby
890,trujillo,Trujillo,Peru,per,Peru,PER,Latin America and the Caribbean,South America,-8.15484825046,-79.0885358767,-8.04118533379,-78.97810507,-8.0946939434,-79.033421549,829083.066895,33.6086349487,1,-5.0,trujillo_per
891,tshikapa,Tshikapa,Democratic Republic of the Congo,cod,Democratic Republic of the Congo,COD,Africa,Middle Africa,-6.47542696145,20.7240564768,-6.3943541409,20.8342375407,-6.42526256965,20.7849425866,546808.396767,15.1784572601,1,2.0,tshikapa_cod
892,tucson,Tucson,United States,usa,United States,USA,Northern America,Northern America,32.1029026956,-111.092376989,32.3787263521,-110.750665427,32.2435387614,-110.931391582,588176.343758,289.348205566,1,-7.0,tucson_usa
893,tulsipur,Tulsipur,India,ind,India,IND,Asia,South-Central Asia,27.5181176579,82.3830530799,27.5435177611,82.4339314241,27.5325107765,82.409457422,603357.483887,0.377116024494,1,5.5,tulsipur_ind
894,tulungagung,Tulungagung,Indonesia,idn,Indonesia,IDN,Asia,South-Eastern Asia,-8.18732563381,111.833520581,-8.00059439912,112.118507954,-8.09550230446,111.968691551,617340.153595,65.4786376953,1,7.0,tulungagung_idn
895,tunis,Tunis; Ariana; Ben Arous; Carthage; Nouvelle Medina,Tunisia,tun,Tunisia,TUN,Africa,Northern Africa,36.6621206826,10.0462215409,36.9701149825,10.3599783042,36.8233648818,10.2006153796,2116487.1703,219.239257812,1,1.0,tunis_tun
896,turin,Turin,Italy,ita,Italy,ITA,Europe,Southern Europe,44.9700921825,7.49550368649,45.1545214712,7.78835965359,45.071255884,7.65076507734,1205384.99981,123.59236145,1,1.0,turin_ita
897,tuxtla-gutierrez,Tuxtla Gutiérrez,Mexico,mex,Mexico,MEX,Latin America and the Caribbean,Central America,16.6947455218,-93.1982164545,16.8016426169,-93.0295632883,16.7535318505,-93.1188980887,608351.498688,66.3987197876,1,-6.0,tuxtla-gutierrez_mex
898,tyumen,Tyumen,Russia,rus,Russia,RUS,Europe,Eastern Europe,57.0855377114,65.4265841518,57.2176488232,65.7091875524,57.1470479829,65.575719998,510080.007427,85.3416900635,1,5.0,tyumen_rus
899,uberlandia,Uberlândia,Brazil,bra,Brazil,BRA,Latin America and the Caribbean,South America,-18.9776803283,-48.3511944594,-18.8620235908,-48.2095701173,-18.9165836538,-48.2797189202,594597.269745,69.4598846436,1,-3.0,uberlandia_bra
900,uchkagaon,Uchkagaon; Khampar; Phulwaria; Uchkagaon; Nautan,India,ind,India,IND,Asia,South-Central Asia,26.2846143079,84.0586779768,26.4532875354,84.2852499051,26.377608488,84.1639193071,569782.376068,2.68996143341,2,5.5,uchkagaon_ind
901,udaipur,Udaipur,India,ind,India,IND,Asia,South-Central Asia,24.519013612,73.6466045734,24.6699711388,73.7933576328,24.5876796363,73.7138308914,847233.092346,36.9534683228,1,5.5,udaipur_ind
